id,date,comment,,,,,,,,,
小***饭,2018-6-7 08:03,手机不错用起来挺流畅价格也便宜,,,,,,,,,
小***动,2018-6-16 13:05,挺好的，从红米3，红米4x，红米5A，认为小米是值得信赖的品牌！,,,,,,,,,
小***大,2018-6-19 08:59,手机没有自带极简桌面，还要另外下载应用。下载的应用里有流氓插件，什么输手机号码领红包，删都不掉。,,,,,,,,,
小***哒,2018-6-21 19:29,适合父母用,,,,,,,,,
小***草,2018-6-4 14:36,手机物超所值，适合父母等老年人使用，便宜实惠呢，哈哈哈哈哈～,,,,,,,,,
小***才,2018-6-18 09:30,适合老年人  功能全 性价比高 值得购买,,,,,,,,,
小***贝,2018-6-9 03:04,宝贝满意，画面清晰，我喜欢，跟图片上的一样。,,,,,,,,,
小***y,2018-6-21 09:41,已经买了第三次了，好用就是回头客，质量好，有保障。,,,,,,,,,
小***o,2018-6-10 10:15,当老人机用的，暂时还不错,,,,,,,,,
小***j,2018-6-13 12:04,不错，买给爸爸用的，目前还可以,,,,,,,,,
小***a,2018-5-15 20:11,很好用，送给妈妈的，很喜欢，好评，下次再光顾,,,,,,,,,
小***8,2018-6-9 15:31,给爸爸买的，一直都是给爸妈买小米手机，实用性很强性价比高，款式也不错 老年人智能机首选。,,,,,,,,,
小***7,2018-6-11 07:17,买给老婆婆的，不错，挺好的。,,,,,,,,,
小***6,2018-6-16 11:35,挺好的，棒棒哒,,,,,,,,,
小***5,2018-6-11 14:09,送给妈妈的，挺喜欢的,,,,,,,,,
小***3,2018-6-18 22:17,手机不错，操作简单方便，老爸喜欢。其实速度还行。,,,,,,,,,
小***2,2018-6-18 15:40,不错，妈妈很喜欢，也挺快了的，就是像素很垃圾,,,,,,,,,
小***1,2018-6-18 20:17,挺好用的，跑分高。,,,,,,,,,
小***0,2018-6-18 11:18,暂时没问题,,,,,,,,,
潇***2,2018-6-20 16:29,给婆婆买的，挺好没拍照，回头再追评,,,,,,,,,
萧***7,2018-6-13 20:22,光合谷uu西游记过过瘾吃海鲜赶紧发喜欢喝特尔,,,,,,,,,
想***灬,2018-6-17 19:33,必须妥妥的好评！特别感谢快递师傅！给老父亲的父亲节礼物，下午三点多了才到威海，不到五点手机就送到了，十分感谢！,,,,,,,,,
相***7,2018-6-6 17:11,非常不错给老妈买的，赶上活动优惠五十元，性价比非常高啊，对于不会玩游戏的老人用足够了，而且家里的手机都是小米的，一直支持小米，用着非常好，而且老妈很喜欢?,,,,,,,,,
现***你,2018-6-21 18:53,物流速度还可以，手机也是正品，但是出现了一些小问题，正在协调卖家处理,,,,,,,,,
显***乐,2018-6-10 17:37,手机还行，目前没啥问题，大小合适，用着顺手就行，拍照流畅度都还可以，毕竟价格再哪里，已经很好了,,,,,,,,,
夏***悠,2018-6-21 15:19,比平时又优惠了几十元，做为管理微信公众号工作手机够用啦！,,,,,,,,,
夏***沫,2018-6-5 18:00,手机还不错，老爸说挺好用的。,,,,,,,,,
下***天,2018-6-16 19:19,妈妈用的，据说还可以,,,,,,,,,
下***1,2018-6-17 17:17,给老爸买的，说声音有点小，我家全用的小米，就是小米客服太慢，太麻烦，这么多年一直没改变，总搞个机器人，机器人能解决的百度都解决了~人工服务实在太慢,,,,,,,,,
喜***你,2018-6-13 17:34,啊，这么好的卖家，如果将来我再也遇不到了，那我该怎么办，直到我毫不犹豫地把卖家的店收藏了我内心的那种激动才逐渐平静下来，可是我立刻想到，这么好的卖家，倘若别人看不到，那么不是浪费心血吗，经过痛苦的思想斗争，我终于下定决心，牺牲小我，奉献大我。我要以此评价奉献给世人赏阅，我要给好评 .,,,,,,,,,
嘻***狸,2018-6-14 11:53,宝贝收到，买送给妈妈的，还不错，用过一段时间再来追评,,,,,,,,,
熙***逸,2018-6-14 20:51,不错，老爸收到后用得用开心！,,,,,,,,,
希***量,2018-6-18 06:19,我知道这么便宜的会卡，我想着是用一段时间后才卡，没想刚到手就这般卡，失望。,,,,,,,,,
希***a,2018-6-17 20:53,不错的手机，挺喜欢?,,,,,,,,,
希***2,2018-6-9 13:07,家里人的电话全是小米系列，一直在这里买。,,,,,,,,,
西***6,2018-6-17 12:27,左边是小米商城app买的母亲节礼物，右边是父亲节天猫买的，同一款手机，同样的设置，屏幕颜色差这么多，找客服，客服一直强调质量没有问题，真是后悔死了在淘宝买这个，膈应死了，屏幕明显暗很多，买给家里老人用的，真是无语，还让我自己去检测？？？这么明显的问题看不出来，真是怀疑手机真假做工了，再也不会在这家店买东西了,,,,,,,,,
西***5,2018-6-10 15:30,相信小米的品质,,,,,,,,,
夕***雪,2018-6-9 16:24,手机耗电不快，小巧，拿着舒服，性能也不错,,,,,,,,,
午***心,2018-6-11 09:38,值得信赖的品牌，一直用小米,,,,,,,,,
梧***步,2018-6-17 08:59,标配里竟然没有耳机？,,,,,,,,,
吴***昪,2018-6-17 11:25,给老爸买的老年机，他很喜欢，手机大小合适，屏幕分辨率可以，运行速度也还行。,,,,,,,,,
吴***7,2018-6-20 11:39,老年机还好，物流慢,,,,,,,,,
吴***1,2018-6-17 12:34,刚收到用了一天，看看好不好吧！给妈妈用的，有点看不清，感觉亮度到头了也不是太亮，有点磨砂的效果，没有贴膜,,,,,,,,,
无***雨,2018-6-15 15:56,像素不好，备用机用用还是可以,,,,,,,,,
无***比,2018-6-10 17:59,给母亲买的 感觉挺好 卖家服务也挺好的,,,,,,,,,
无***1,2018-6-17 15:19,挺好的，便宜,,,,,,,,,
巫***哒,2018-6-19 09:16,用着很流畅！不知道几个月后会怎么样！几个月后我在追加评价.,,,,,,,,,
我***年,2018-6-8 20:36,给家人买的，收货几天后，才确认的。一直以来都比较喜欢小米，是小米的忠实粉丝。???,,,,,,,,,
